_id,DC Code,DC Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
75,95WW,Newtownabbey,2012,217,114,103,9207.5,75.42,531.9,8609.399999999999636202119290828704833984375,18294,12856,13391,9778,268,152,74,161,503,153,31,9,24
76,95XX,North Down,2012,65,0,65,3550.59999999999990905052982270717620849609375,86.26,494.5,2443.09999999999990905052982270717620849609375,5637,2546,94,225,79,46,17,48,144,44,7,7,7
77,95YY,Omagh,2012,2009,1902,107,83405,53.37,530.5,80923.300000000002910383045673370361328125,125718,142295,27546,1376008,2356,1329,447,851,3654,1605,230,95,79
78,95ZZ,Strabane,2012,1209,999,210,67251,70.96,2376.6999999999998181010596454143524169921875,62579.5999999999985448084771633148193359375,85175,197233,40590,337212,1455,880,275,643,2373,871,171,72,95
79,95AA,Antrim,2013,651,358,293,32799.699999999997089616954326629638671875,81.99,1276.5,30701.20000000000072759576141834259033203125,60225,49585,11495,944391,774,489,200,388,1362,439,108,42,62
80,95BB,Ards,2013,617,60,557,28570.20000000000072759576141834259033203125,108.11,6366.899999999999636202119290828704833984375,21563.79999999999927240423858165740966796875,56608,39098,12860,140580,799,506,216,557,1572,383,92,42,100
95,95QQ,Larne,2013,522,510,12,29444,55.38,151.2,29061.79999999999927240423858165740966796875,33243,114607,3788,149202,609,390,168,270,1047,378,83,22,39
81,95CC,Armagh,2013,1760,911,849,52652.0999999999985448084771633148193359375,78.5,4150.399999999999636202119290828704833984375,47738.9000000000014551915228366851806640625,120159,61183,69242,1867484,2056,1108,437,1274,3767,1325,214,76,145
82,95DD,Ballymena,2013,1152,758,394,47015.5,74.86,1048.299999999999954525264911353588104248046875,45356.800000000002910383045673370361328125,78838,115723,4455,2076595,1377,812,364,469,2210,836,159,83,74
83,95EE,Ballymoney,2013,651,308,343,32060.5,105.89,1912.09999999999990905052982270717620849609375,29587.9000000000014551915228366851806640625,55530,67512,14737,1165176,830,519,186,334,1350,426,102,49,74
84,95FF,Banbridge,2013,1053,378,675,39963.0999999999985448084771633148193359375,63,4630.8000000000001818989403545856475830078125,35004.300000000002910383045673370361328125,73101,74717,10975,383895,1280,721,299,509,2088,784,133,58,78
85,95GG,Belfast,2013,18,13,5,1841,103.99,45.2,1729,2605,1617,1716,0,21,16,3,98,122,12,3,1,2
86,95HH,Carrickfergus,2013,98,97,1,3551.09999999999990905052982270717620849609375,39.83,15.1,3456.90000000000009094947017729282379150390625,4667,12255,760,700,116,68,32,57,205,75,17,4,2
