_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
2575,95KK13,Sandholes,2014,72,12,60,2754,134,51,2685,6789,4453,5851,191,96,57,22,38,156
2576,95KK14,Stewartstown,2014,77,7,70,2864,184,19,2826,8023,2441,26817,100,96,65,22,51,169
2577,95KK15,The Loop,2014,119,8,111,4229,92,216,3948,10425,2611,5073,24,153,88,25,61,239
2578,95KK16,Tullagh,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2579,95LL01,Aghagallon,2014,86,42,44,3401,91,124,3240,8951,352,1255,78,107,63,20,55,182
2580,95LL02,Annagh,2014,19,2,17,541,92,61,475,1125,89,0,35,20,5,7,6,33
2581,95LL03,Ballybay,2014,18,3,15,761,99,260,497,873,42,0,0,26,18,5,32,63
2582,95LL04,Ballyoran,2014,12,7,5,695,116,22,673,1286,0,0,0,18,11,4,9,31
2583,95LL05,Bleary,2014,35,1,34,918,82,66,843,1557,1171,1840,0,40,18,8,21,69
2584,95LL06,Brownstown,2014,12,4,8,306,34,2,303,544,130,0,0,13,10,2,13,28
2585,95LL07,Church,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2586,95LL08,Corcrain,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2587,95LL09,Court,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2588,95LL10,Derrytrasna,2014,57,54,3,1656,88,49,1503,3693,637,615,160,75,44,15,80,170
2589,95LL11,Donaghcloney,2014,71,0,71,3161,122,734,2409,6903,1891,12,180,94,52,23,35,152
2590,95LL12,Drumgask,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2591,95LL13,Drumgor,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2592,95LL14,Drumnamoe,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2593,95LL15,Edenderry CRAIGAVON,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2626,95MM22,Pennyburn,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2594,95LL16,Kernan,2014,27,13,14,1102,112,73,1001,2970,158,1319,0,33,21,11,20,64
2595,95LL17,Killycomain,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2596,95LL18,Knocknashane,2014,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3
2597,95LL19,Magheralin,2014,26,1,25,1116,116,109,984,2747,220,2355,21,34,18,10,18,62
2598,95LL20,Mourneview,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2599,95LL21,Parklake,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2600,95LL22,Taghnevan,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2601,95LL23,Tavanagh,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2602,95LL24,The Birches,2014,137,87,50,3886,92,379,3454,8254,2135,1387,0,168,101,40,180,388
2603,95LL25,Waringstown,2014,25,1,24,919,85,159,732,1942,302,310,0,31,14,4,12,47
2604,95LL26,Woodville,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2605,95MM01,Altnagelvin,2014,8,6,2,256,20,12,242,166,893,0,0,9,5,2,4,15
2606,95MM02,Ballynashallog,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2607,95MM03,Banagher,2014,186,182,4,11422,54,114,11162,8485,49978,748,19,218,133,50,102,370
2608,95MM04,Beechwood,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2609,95MM05,Brandywell,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2610,95MM06,Carn Hill,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2611,95MM07,Caw,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2612,95MM08,Clondermot,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2613,95MM09,Claudy,2014,93,87,6,5209,35,101,4919,3738,15853,16,0,118,64,22,49,189
2614,95MM10,Creggan Central,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2615,95MM11,Creggan South,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2616,95MM12,Crevagh,2014,24,15,9,1572,137,420,1131,2124,2017,0,0,36,27,8,24,68
2617,95MM13,Culmore,2014,7,2,5,206,84,23,183,522,631,0,0,8,5,1,1,10
2618,95MM14,Ebrington,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2619,95MM15,Eglinton,2014,39,19,20,1773,70,427,1302,2774,3718,0,0,46,28,7,28,81
2620,95MM16,Enagh DERRY,2014,20,2,18,1688,123,481,1174,1712,933,0,0,24,20,7,15,46
2621,95MM17,Foyle Springs,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2622,95MM18,Hollymount,2014,67,52,15,3924,101,381,3512,6232,11123,70,16,89,63,21,44,154
2623,95MM19,Kilfennan,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2624,95MM20,Lisnagelvin,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2625,95MM21,New Buildings,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2627,95MM23,Rosemount,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2790,95UU12,Glentaisie,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2628,95MM24,Shantallow East,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2629,95MM25,Shantallow West,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2630,95MM26,Springtown,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2631,95MM27,Strand DERRY,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2632,95MM28,The Diamond,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2633,95MM29,Victoria DERRY,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2634,95MM30,Westland,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2635,95NN01,Ardglass,2014,54,3,51,2426,81,499,1859,4675,2994,0,0,62,47,16,36,114
2636,95NN02,Audleys Acre,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2637,95NN03,Ballymaglave,2014,5,3,2,186,121,7,179,578,414,1000,0,7,5,1,1,9
2638,95NN04,Ballymote,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2639,95NN05,Ballynahinch East,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2640,95NN06,Castlewellan,2014,50,42,8,1378,24,23,1348,1552,6358,0,0,58,24,14,31,103
2641,95NN07,Cathedral,2014,7,2,5,405,61,166,238,192,388,0,0,8,4,1,3,12
2642,95NN08,Crossgar,2014,49,38,11,2270,46,90,2043,3405,3628,123,0,64,37,15,28,107
2643,95NN09,Derryboy,2014,99,38,61,4221,91,552,3588,6583,9762,10994,0,122,67,38,54,214
