_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
1,95AA01,Aldergrove,2010,95,8,87,6392,n.a.,320,5816,11828,8895,1116,98700,119,71,36,77,232
2,95AA02,Balloo,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
3,95AA03,Ballycraigy,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
4,95AA04,Clady,2010,132,97,35,6691,n.a.,355,6291,12884,7796,7126,143920,157,98,39,71,267
5,95AA05,Cranfield,2010,44,3,41,2024,n.a.,117,1884,5480,1026,1635,26500,55,41,10,24,89
6,95AA06,Crumlin ANTRIM,2010,9,3,7,335,n.a.,36,297,610,138,0,0,11,7,5,3,18
7,95AA07,Drumanaway,2010,59,38,21,2380,n.a.,157,2206,5448,741,3,20000,73,42,18,19,110
8,95AA08,Farranshane,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
9,95AA09,Fountain Hill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
10,95AA10,Greystone,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
11,95AA11,Massereene,2010,6,5,3,317,n.a.,44,271,533,246,0,0,8,6,0,3,10
12,95AA12,parkgate,2010,92,73,19,4192,n.a.,152,3992,7295,14329,7,149000,112,63,31,40,183
13,95AA13,Randalstown,2010,14,9,5,883,n.a.,42,519,641,3023,3,2000,14,3,5,10,29
14,95AA14,Shilvodan,2010,107,100,7,4060,n.a.,127,3904,6648,7424,1536,625880,131,78,38,33,202
15,95AA15,Springfarm,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
16,95AA16,Steeple,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
17,95AA17,Stiles,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
18,95AA18,Templepatrick,2010,24,3,22,2091,n.a.,49,2031,2813,2455,0,31000,31,20,8,12,51
19,95AA19,Toome,2010,65,27,38,2977,n.a.,135,2804,8138,3012,0,2900,80,52,16,34,130
20,95BB01,Ballygowan,2010,43,29,14,1179,n.a.,53,1092,2326,659,583,4970,55,31,15,27,97
21,95BB02,Ballyrainey,2010,12,0,12,849,n.a.,566,270,511,1197,22,0,17,10,3,19,40
22,95BB03,Ballywalter,2010,36,3,35,2033,n.a.,382,1507,4875,2122,3,0,48,30,11,27,86
23,95BB04,Bradshaws Brae,2010,9,0,9,597,n.a.,99,498,1813,0,5,0,14,13,3,7,24
24,95BB05,Carrowdore,2010,92,0,92,4585,n.a.,733,3718,9920,11365,9,44770,115,83,32,57,204
25,95BB06,Central Ards,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
26,95BB07,Comber East,2010,6,3,5,208,n.a.,163,44,0,255,0,0,8,6,0,13,21
27,95BB08,Comber North,2010,5,0,5,302,n.a.,256,42,0,143,0,0,6,6,3,7,14
28,95BB09,Comber West,2010,12,0,12,519,n.a.,265,247,404,635,0,0,13,7,3,3,21
29,95BB10,Donaghadee North,2010,21,0,21,967,n.a.,203,703,1846,453,0,8000,24,16,8,10,42
30,95BB11,Donaghadee South,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
31,95BB12,Glen,2010,7,0,7,220,n.a.,28,187,471,614,0,0,9,6,0,3,10
32,95BB13,Gregstown,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
33,95BB14,Killinchy,2010,63,13,50,3277,n.a.,610,2615,4446,7876,3,0,91,59,23,57,171
34,95BB15,Kircubbin,2010,88,0,88,3710,n.a.,685,2944,8163,2137,27,75050,116,69,37,65,218
35,95BB16,Lisbane,2010,73,16,57,2741,n.a.,609,2100,4218,6527,0,120,92,52,29,62,183
36,95BB17,Loughries,2010,37,3,36,1345,n.a.,180,1154,3749,1340,5,0,47,32,15,25,87
37,95BB18,Millisle,2010,30,0,30,1113,n.a.,168,941,2823,299,19,0,35,21,8,14,57
38,95BB19,Movilla,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
39,95BB20,Portaferry,2010,41,3,39,2406,n.a.,701,1637,4921,1679,12983,0,52,37,10,37,99
40,95BB21,Portavogie,2010,39,3,38,1723,n.a.,138,1572,4960,701,852,0,53,34,14,27,94
41,95BB22,Scrabo,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
42,95BB23,Whitespots,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
43,95CC01,Abbey Park,2010,9,3,8,165,n.a.,3,155,340,124,0,0,13,7,3,3,17
44,95CC02,Ballymartrim,2010,149,3,145,4900,n.a.,346,4513,12342,1879,732,427670,176,96,33,74,283
45,95CC03,Callan Bridge,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
46,95CC04,Carrigatuke,2010,183,174,9,4946,n.a.,10,4886,12132,3594,1860,10200,213,99,36,54,303
47,95CC05,Charlemont,2010,78,34,44,2219,n.a.,277,1878,3476,723,3,73650,100,51,16,131,247
48,95CC06,Demesne,2010,8,3,5,109,n.a.,11,98,188,0,0,0,8,0,3,3,15
49,95CC07,Derrynoose,2010,247,236,11,5094,n.a.,29,5048,11784,1834,2521,53070,275,129,55,76,406
50,95CC08,Downs,2010,5,3,3,94,n.a.,0,94,187,0,0,10790,5,3,3,3,8
51,95CC09,Hamiltonsbawn,2010,126,50,76,3915,n.a.,367,3524,8124,5597,237,99470,143,73,29,49,221
52,95CC10,Hockley,2010,88,11,77,2852,n.a.,540,2295,6923,1931,3919,7170,100,61,28,147,275
53,95CC11,Keady,2010,14,13,3,291,n.a.,1,290,625,70,0,0,17,11,3,21,39
54,95CC12,Killeen,2010,206,184,22,4929,n.a.,261,4650,12969,5754,4786,417100,254,124,45,94,393
55,95CC13,Killylea,2010,162,69,93,5174,n.a.,273,4779,12156,8752,45866,118880,196,110,49,171,416
56,95CC14,Laurelvale,2010,26,3,25,1119,n.a.,342,771,1483,187,5753,2500,30,15,6,22,58
57,95CC15,Loughgall,2010,84,20,64,1911,n.a.,524,1363,3320,1300,0,49500,105,64,27,157,289
58,95CC16,Markethill,2010,64,58,6,2047,n.a.,113,1925,5001,3710,0,79800,78,47,15,17,110
59,95CC17,Milford,2010,122,61,61,3672,n.a.,68,3572,8797,5440,264,109850,147,69,25,38,210
60,95CC18,Observatory,2010,9,3,6,557,n.a.,98,456,1443,3,3,0,12,3,3,3,17
61,95CC19,Poyntz Pass,2010,144,13,131,6119,n.a.,792,5299,15868,10600,3591,87200,179,112,54,72,305
62,95CC20,Rich Hill,2010,14,3,11,608,n.a.,194,391,800,952,68,0,16,9,3,8,26
63,95CC21,Tandragee,2010,28,3,26,1095,n.a.,156,896,1469,607,444,4300,32,15,7,25,64
64,95CC22,The Mall,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
65,95DD01,Academy,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
66,95DD02,Ahoghill,2010,17,3,14,503,n.a.,24,470,1108,1138,315,0,19,10,5,3,27
67,95DD03,Ardeevin,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
68,95DD04,Ballee,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
69,95DD05,Ballykeel,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
70,95DD06,Ballyloughan,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
71,95DD07,Broughshane,2010,30,12,18,869,n.a.,40,802,1899,1270,3,317300,44,23,10,11,65
72,95DD08,Castle Demesne,2010,5,5,0,392,n.a.,3,381,40,974,0,0,6,3,3,5,12
73,95DD09,Craigywarren,2010,137,14,123,5137,n.a.,206,4865,12283,3971,787,141450,188,127,45,39,272
74,95DD10,Cullybackey,2010,6,0,6,146,n.a.,8,138,293,0,0,0,7,3,3,3,9
75,95DD11,Dunclug,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
76,95DD12,Dunminning,2010,120,95,25,4045,n.a.,256,3705,8447,5131,41,181350,154,74,41,35,230
77,95DD13,Fair Green,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
78,95DD14,Galgorm,2010,15,5,10,325,n.a.,0,324,763,484,0,0,16,7,3,12,31
79,95DD15,Glenravel,2010,168,141,27,7828,n.a.,96,7649,9767,30415,337,135920,214,130,49,60,323
80,95DD16,Glenwhirry,2010,171,143,28,8023,n.a.,69,7859,10104,21349,11,121500,209,126,58,59,326
81,95DD17,Grange,2010,142,117,25,5199,n.a.,251,4909,12937,4938,918,129000,178,108,44,75,297
82,95DD18,Harryville,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
83,95DD19,Kells,2010,37,24,13,1586,n.a.,66,1516,2579,3470,13,71600,44,25,7,13,64
84,95DD20,Moat,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
85,95DD21,Park,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
86,95DD22,Portglenone,2010,109,68,41,3186,n.a.,127,3007,7888,2155,127,177110,124,67,36,32,192
87,95DD23,Slemish,2010,185,152,33,10923,n.a.,147,10549,11418,38201,45,227970,227,158,67,78,372
88,95DD24,Summerfield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
89,95EE01,Ballyhoe and Corkey,2010,86,83,3,4414,n.a.,48,4346,3548,19732,116,249800,101,60,20,21,142
90,95EE02,Benvardin,2010,52,6,46,2646,n.a.,320,2273,5619,2144,1026,53150,68,49,22,25,115
91,95EE03,Carnany,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
92,95EE04,Clogh Mills,2010,41,28,13,2433,n.a.,102,2288,3623,3059,11400,26760,52,36,11,19,82
93,95EE05,Dervock,2010,57,6,51,3186,n.a.,386,2724,6720,4068,0,94480,71,52,15,52,138
94,95EE06,Dunloy,2010,39,36,3,1464,n.a.,14,1425,2438,2714,601,30300,43,22,9,24,76
95,95EE07,Fairhill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
96,95EE08,Glebe BALLYMONEY,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
97,95EE09,Killoquin Lower,2010,78,43,35,3591,n.a.,184,3333,7391,4219,684,345390,90,67,23,34,147
98,95EE10,Killoquin Upper,2010,49,46,3,2054,n.a.,43,2010,3598,2524,22,69600,58,33,12,14,84
99,95EE11,Knockaholet,2010,83,30,53,4313,n.a.,376,3893,6967,10796,906,44500,103,71,21,40,164
100,95EE12,Newhill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
101,95EE13,Route,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
102,95EE14,Seacon,2010,23,3,21,971,n.a.,98,867,2068,750,0,55500,30,18,6,11,47
103,95EE15,Stranocum,2010,63,15,48,3648,n.a.,416,3158,8076,6889,0,44340,95,63,24,24,143
104,95EE16,The Vow,2010,69,14,55,2863,n.a.,359,2469,6179,2799,0,122920,88,48,18,23,129
105,95FF01,Ballydown,2010,17,3,15,934,n.a.,99,833,2277,1392,0,0,23,16,6,10,39
106,95FF02,Ballyward,2010,212,196,16,7153,n.a.,130,6966,10861,23682,2778,32400,258,126,62,79,399
107,95FF03,Banbridge West,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
108,95FF04,Bannside,2010,181,3,178,9522,n.a.,1265,8213,12871,9861,2817,0,218,125,57,77,352
109,95FF05,Dromore North,2010,5,3,3,149,n.a.,83,65,106,0,0,0,6,3,3,3,8
110,95FF06,Dromore South,2010,29,3,25,928,n.a.,102,824,2209,1477,0,0,35,15,10,13,58
111,95FF07,Edenderry BANBRIDGE,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
112,95FF08,Fort,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
113,95FF09,Gilford,2010,18,0,18,532,n.a.,44,467,1019,528,3,0,24,13,5,7,36
114,95FF10,Gransha,2010,135,113,22,4550,n.a.,252,4256,8669,12658,74,11000,170,93,46,54,270
115,95FF11,Katesbridge,2010,176,69,107,5962,n.a.,939,4994,11900,13319,3030,113400,228,130,41,96,365
116,95FF12,Lawrencetown,2010,47,3,45,1387,n.a.,115,1252,3275,1465,0,13800,59,34,9,40,108
117,95FF13,Loughbrickland,2010,91,3,90,3207,n.a.,459,2716,7519,3346,1299,0,124,57,24,65,213
118,95FF14,Quilly,2010,112,3,111,4313,n.a.,684,3600,9678,3716,40,116000,142,77,35,55,232
119,95FF15,Rathfriland,2010,20,3,18,621,n.a.,39,581,1388,862,0,0,25,11,5,5,35
120,95FF16,Seapatrick,2010,8,0,8,76,n.a.,0,76,124,75,0,0,9,3,3,0,10
121,95FF17,The Cut,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
122,95GG01,Andersontown,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
123,95GG02,Ardoyne,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
124,95GG03,Ballyhackamore,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
125,95GG04,Ballymacarett,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
126,95GG05,Ballynafeigh,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
127,95GG06,Ballysillan,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
128,95GG07,Beechmount,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
129,95GG08,Bellevue,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
130,95GG09,Belmont,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
131,95GG10,Blackstaff,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
132,95GG11,Bloomfield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
133,95GG12,Botanic,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
134,95GG13,Castleview,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
135,95GG14,Cavehill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
136,95GG15,Cherry Valley,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
137,95GG16,Chichester Park,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
138,95GG17,Cliftonville,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
139,95GG18,Clonard,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
140,95GG19,Crumlin BELFAST,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
141,95GG20,Duncairn,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
142,95GG21,Falls,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
143,95GG22,Falls Park,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
144,95GG23,Finaghy,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
145,95GG24,Fortwilliam,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
146,95GG25,Glen Road,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
147,95GG26,Glencairn,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
148,95GG27,Glencolin,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
149,95GG28,Highfield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
150,95GG29,Island,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
151,95GG30,Knock,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
152,95GG31,Ladybrook,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
153,95GG32,Legoniel,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
154,95GG33,Malone,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
155,95GG34,Musgrave,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
156,95GG35,New Lodge,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
157,95GG36,Orangefield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
158,95GG37,Ravenhill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
159,95GG38,Rosetta,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
160,95GG39,Shaftesbury,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
161,95GG40,Shankill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
162,95GG41,Stormont,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
163,95GG42,Stranmillis,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
164,95GG43,Sydenham,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
165,95GG44,The Mount,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
166,95GG45,Upper Malone,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
167,95GG46,Upper Springfield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
168,95GG47,Water Works,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
169,95GG48,Whiterock,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
170,95GG49,Windsor,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
171,95GG50,Woodstock,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
172,95GG51,Woodvale,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
173,95HH01,Blackhead,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
174,95HH02,Bluefield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
175,95HH03,Boneybefore,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
176,95HH04,Burleigh Hill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
177,95HH05,Clipperstown,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
178,95HH06,Eden,2010,20,20,0,1038,n.a.,0,970,1098,3297,0,5200,24,15,5,23,52
179,95HH07,Gortalee,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
180,95HH08,Greenisland,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
181,95HH09,Killycrot,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
182,95HH10,Knockagh,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
183,95HH11,Love Lane,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
184,95HH12,Milebush,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
185,95HH13,Northland,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
186,95HH14,Sunnylands,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
187,95HH15,Victoria CARRICK,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
188,95HH16,Whitehead,2010,7,7,0,335,n.a.,0,334,680,347,0,0,8,5,3,3,12
189,95HH17,Woodburn,2010,66,64,3,2090,n.a.,10,2073,3284,6818,750,400,81,43,24,27,132
190,95II01,Ballyhanwood,2010,12,0,12,656,n.a.,106,546,1394,2198,3,0,17,11,7,20,44
191,95II02,Beechill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
192,95II03,Cairnshill,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
193,95II04,Carrowreagh,2010,7,3,6,2126,n.a.,137,1336,916,1996,0,0,8,5,3,13,23
194,95II05,Carryduff East,2010,10,0,10,533,n.a.,76,449,875,0,0,0,13,8,3,8,24
195,95II06,Carryduff West,2010,7,3,6,301,n.a.,33,268,949,310,0,0,10,8,5,5,20
196,95II07,Cregagh,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
197,95II08,Downshire,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
198,95II09,Dundonald,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
199,95II10,Enler,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
200,95II11,Galwally,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
201,95II12,Gilnahirk,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
202,95II13,Grahams Bridge,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
203,95II14,Hillfoot,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
204,95II15,Knockbracken,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
205,95II16,Lisnasharragh,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
206,95II17,Lower Braniel,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
207,95II18,Minnowburn,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
208,95II19,Moneyreagh,2010,51,3,49,2276,n.a.,262,1989,5039,1075,848,0,68,44,17,44,129
209,95II20,Newtonbreda,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
210,95II21,Tullycarnet,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
211,95II22,Upper Braniel,2010,5,0,5,106,n.a.,6,98,242,0,0,0,7,5,3,0,8
212,95II23,Wynchurch,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
213,95JJ01,Agivey,2010,108,5,103,5657,n.a.,505,5053,12255,7090,195,0,141,92,33,57,231
214,95JJ02,Atlantic,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
215,95JJ03,Ballysally,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
216,95JJ04,Castlerock,2010,35,25,10,2058,n.a.,166,1876,2576,5811,91,0,45,23,8,21,74
217,95JJ05,Central COLERAINE,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
218,95JJ06,Churchland,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
219,95JJ07,Cross Glebe,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
220,95JJ08,Dundooan,2010,56,3,53,3211,n.a.,691,2492,7036,2622,35,291940,73,59,23,55,151
221,95JJ09,Dunluce,2010,72,25,47,4498,n.a.,662,3806,10852,3599,0,30000,107,67,21,42,170
222,95JJ10,Garvagh,2010,103,77,26,5240,n.a.,290,4905,6152,11528,249,47500,127,71,35,37,199
223,95JJ11,Hopefield,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
224,95JJ12,Kilrea,2010,48,31,17,1767,n.a.,73,1665,3463,3196,1912,47000,54,28,12,16,82
225,95JJ13,Knocklynn,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
226,95JJ14,Macosquin,2010,87,36,51,4933,n.a.,465,4428,8526,9356,2412,34950,107,73,22,51,180
227,95JJ15,Mount Sandel,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
228,95JJ16,Portstewart,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
229,95JJ17,Ringsend,2010,141,81,60,6880,n.a.,338,6302,10292,14395,12,128690,181,115,41,59,281
230,95JJ18,Royal Portrush,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
231,95JJ19,Strand COLERAINE,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
232,95JJ20,The Cuts,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
233,95JJ21,University,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
234,95JJ22,Waterside,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
235,95KK01,Ardboe,2010,49,34,15,1283,n.a.,61,1211,3586,228,0,0,65,25,7,11,83
236,95KK02,Coagh,2010,60,13,47,2191,n.a.,144,2019,5816,1681,11585,63960,76,47,19,34,129
263,95LL13,Drumgor,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
237,95KK03,Dunnamore,2010,231,229,3,7679,n.a.,1,7576,8351,9492,442,483750,262,117,48,74,384
238,95KK04,Gortalowry,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
239,95KK05,Killycolpy,2010,94,49,45,3136,n.a.,247,2880,8376,544,2406,130640,116,71,18,41,175
240,95KK06,Killymoon,2010,5,3,3,181,n.a.,0,181,405,215,0,0,6,3,3,3,11
241,95KK07,Lissan,2010,166,126,40,5890,n.a.,110,5744,10116,14286,11253,120960,210,115,56,78,344
242,95KK08,Moneymore,2010,51,13,38,1515,n.a.,211,1286,3413,3494,1048,70890,63,30,10,24,97
243,95KK09,Newbuildings,2010,8,3,7,201,n.a.,14,183,303,155,0,6000,8,3,3,3,11
244,95KK10,Oaklands,2010,158,127,31,4292,n.a.,36,4217,9930,5120,2154,164900,186,87,47,51,284
245,95KK11,Oldtown,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
246,95KK12,Pomeroy,2010,137,127,10,3931,n.a.,79,3815,8598,3962,1776,250030,159,83,35,51,245
247,95KK13,Sandholes,2010,72,9,63,2664,n.a.,58,2588,6840,3501,5500,214400,82,56,26,26,134
248,95KK14,Stewartstown,2010,80,11,69,2961,n.a.,109,2831,8894,2237,22920,102300,109,67,24,61,194
249,95KK15,The Loop,2010,120,9,111,4176,n.a.,251,3843,10132,1851,4780,63250,152,81,27,53,232
250,95KK16,Tullagh,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
251,95LL01,Aghagallon,2010,89,40,49,3367,n.a.,281,3036,8351,133,1107,68570,111,58,21,38,170
252,95LL02,Annagh,2010,22,3,21,690,n.a.,23,665,1516,377,0,32000,27,9,8,9,44
253,95LL03,Ballybay,2010,15,3,12,517,n.a.,217,299,454,85,0,150,16,11,3,41,61
254,95LL04,Ballyoran,2010,14,10,3,570,n.a.,11,559,1287,32,0,0,16,8,3,6,25
255,95LL05,Bleary,2010,35,0,35,943,n.a.,43,894,1890,340,1808,0,42,19,9,17,68
256,95LL06,Brownstown,2010,18,5,13,342,n.a.,26,307,673,71,0,0,21,10,5,12,38
257,95LL07,Church,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
258,95LL08,Corcrain,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
259,95LL09,Court,2010,3,3,3,3,n.a.,3,3,3,3,3,3,3,3,3,3,3
