WPC Code,WPC Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N06000003,Belfast South,2012,3,3,3,3,138.58,193.50,"1,349.00","3,563","1,278","1,565",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2012,3,3,3,3,44.60,0.00,867.00,"1,042",128,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2012,800,788,12,"46,291.50",52.07,430.90,"45,470.80","43,917","201,994","3,641","244,405",937,562,232,390,1559,587,123,37,53
N06000006,East Londonderry,2012,1540,969,571,"89,145.80",67.54,"7,461.60","80,028.50","113,903","262,382","6,083","489,349",1906,1170,432,839,3177,1062,266,87,125
N06000007,Fermanagh & South Tyrone,2012,4287,3957,330,"164,966.20",52.23,997.40,"161,011.10","256,967","140,648","49,882","4,570,244",4923,2574,1048,1588,7559,3492,484,168,143
N06000008,Foyle,2012,173,102,71,"9,948.50",75.08,"1,849.60","7,935.90","13,483","20,964",79,0,213,147,47,123,383,113,30,12,18
N06000009,Lagan Valley,2012,852,241,611,"32,511.50",75.90,"5,114.60","27,092.50","64,374","47,762","9,961","662,666",1059,586,276,459,1794,609,114,44,85
N06000010,Mid Ulster,2012,2839,1878,961,"97,625.50",59.97,"3,741.90","92,462.50","175,429","170,224","94,442","3,301,643",3374,1701,644,1188,5206,2235,314,152,138
N06000011,Newry & Armagh,2012,3007,2099,908,"80,871.80",61.57,"4,913.80","74,940.50","189,105","85,101","78,451","2,132,749",3512,1697,659,1623,5794,2417,300,103,187
N06000012,North Antrim,2012,2177,1403,774,"103,451.20",85.88,"4,393.40","97,279.70","166,379","292,159","18,711","3,830,620",2720,1621,657,1040,4417,1481,340,161,195
N06000013,North Down,2012,118,0,118,"5,688.90",89.13,824.80,"4,188.20","10,207","3,337",102,"7,225",139,74,34,79,252,81,14,8,15
N06000014,South Antrim,2012,1024,612,412,"47,765.70",78.36,"2,311.60","44,548.90","91,882","68,273","25,266","1,069,618",1224,720,334,581,2139,711,153,60,100
N06000015,South Down,2012,2578,1539,1039,"85,329.10",48.89,"7,641.10","76,757.60","147,164","256,536","31,325","780,179",3113,1646,676,1260,5049,2028,321,105,124
