Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000704,Ballymacbrennan,2015,86,25,61,3331,64,256,3042,5617,6897,8,22,99,51,26,22,147
N08000705,Ballymacoss,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000706,Beechill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000707,Blaris,2015,15,3,14,552,73,268,278,413,49,0,0,19,9,3,9,29
N08000708,Cairnshill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000709,Carrowreagh,2015,6,3,5,1866,307,294,945,803,1848,0,0,9,3,0,19,28
N08000710,Carryduff East,2015,23,0,23,856,80,39,810,1766,201,0,0,31,14,8,15,54
N08000711,Carryduff West,2015,7,0,7,323,107,30,293,1027,264,0,0,10,5,3,3,14
N08000712,Derryaghy,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000713,Dromara,2015,95,72,23,3501,78,116,3332,7411,9589,1024,0,115,69,39,51,205
N08000714,Drumbo,2015,43,3,41,1556,101,182,1359,4081,376,0,0,50,29,17,24,91
N08000715,Dundonald,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000716,Enler,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000717,Galwally,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000718,Glenavy,2015,66,56,10,2399,61,377,2008,4192,562,5,5,76,40,10,31,117
N08000719,Graham's Bridge,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000720,Harmony Hill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000721,Hilden,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000722,Hillhall,2015,10,0,10,444,106,113,329,627,147,1560,0,16,9,3,5,23
N08000723,Hillsborough,2015,37,0,37,1243,85,89,1147,2651,612,2260,0,47,22,9,11,67
N08000724,Knockbracken,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000725,Knockmore,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000726,Lagan,2015,68,3,66,3172,137,985,2162,6261,2211,67,206,86,52,25,40,151
N08000727,Lagan Valley,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000728,Lambeg,2015,6,0,6,272,169,87,185,488,0,0,0,7,5,0,7,14
N08000729,Lisnagarvey,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000730,Maghaberry,2015,39,0,39,1581,106,316,1246,1943,2137,3725,112,46,31,10,16,72
N08000731,Magheralave,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000732,Maze,2015,17,0,17,801,114,225,564,1379,353,0,66,21,12,5,12,38
N08000733,Moira,2015,7,0,7,509,371,174,335,697,0,0,208,7,7,3,3,11
N08000734,Moneyreagh,2015,33,3,31,1602,126,191,1396,4011,683,0,0,43,30,13,24,80
N08000735,Newtownbreda,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000736,Old Warren,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000737,Ravernet,2015,68,0,68,2462,120,472,1935,4575,1213,6546,31,87,40,21,56,164
N08000738,Stonyford,2015,125,105,20,4939,48,99,4747,6897,4408,0,55,148,64,32,48,228
N08000739,Wallace Park,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000740,White Mountain,2015,11,9,3,371,47,3,362,588,30,0,0,13,5,3,12,29
N08000801,Academy,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000802,Ahoghill,2015,17,3,13,672,103,23,640,1799,1307,492,23,18,13,7,7,32
N08000803,Ardeevin,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000804,Ballee and Harryville,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000805,Ballycarry and Glynn,2015,63,63,0,2960,74,16,2884,5264,10996,32,2,76,43,20,21,117
N08000806,Ballykeel,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000807,Boneybefore,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000808,Braidwater,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000809,Broughshane,2015,31,10,21,1061,208,65,974,2118,2245,0,339,36,19,7,19,62
N08000810,Burleigh Hill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000811,Cairncastle,2015,51,48,3,3259,58,0,3199,2248,17224,0,24,54,38,12,27,93
N08000812,Carnlough and Glenarm,2015,149,147,3,10053,55,23,9916,6004,37491,0,200,166,112,37,112,315
N08000813,Castle (Mid and East Antrim),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000814,Castle Demesne,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000815,Craigyhill,2015,7,6,3,161,107,1,160,325,186,0,0,8,5,3,9,19
N08000816,Cullybackey,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000817,Curran and Inver,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000818,Fair Green,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000819,Galgorm,2015,16,6,10,389,39,6,380,821,911,0,0,18,8,3,8,29
N08000820,Gardenmore,2015,6,6,0,244,71,11,232,437,433,0,0,6,3,0,3,7
N08000821,Glenravel,2015,171,139,32,7340,76,66,7215,9125,29631,413,274,201,120,38,54,293
N08000822,Glenwhirry,2015,192,158,34,8888,64,60,8744,11167,29156,1237,280,217,128,56,77,350
N08000823,Gortalee,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000824,Grange,2015,137,114,23,5146,103,131,4963,13201,5311,1802,160,171,108,43,74,288
N08000825,Greenisland,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000826,Islandmagee,2015,51,47,3,2011,78,4,1999,3283,6369,13,15,58,32,14,26,98
N08000827,Kells,2015,42,27,15,1736,78,30,1701,2447,4539,82,93,52,28,11,15,78
N08000828,Kilroot,2015,14,14,0,820,53,0,745,866,3120,0,0,18,11,3,16,36
N08000829,Kilwaughter,2015,135,127,8,7573,95,46,7495,11349,26132,3937,96,167,103,36,57,260
N08000830,Kirkinriola,2015,132,15,117,5003,105,92,4842,11567,6004,584,190,178,119,46,51,275
N08000831,Love Lane,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000832,Maine,2015,130,88,42,4455,97,177,4178,9838,5512,14,295,165,80,33,47,245
N08000833,Park (Mid and East Antrim),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000834,Portglenone,2015,107,64,43,2838,63,82,2707,7037,2375,9,116,120,67,25,32,177
N08000835,Slemish,2015,227,186,41,13271,83,161,12893,14467,51188,0,361,289,191,69,90,448
N08000836,Sunnylands,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000837,The Maidens,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000838,Victoria (Mid and East Antrim),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000839,Whitehead South,2015,8,8,0,337,62,0,336,757,424,0,0,9,5,3,0,10
N08000840,Woodburn,2015,92,90,3,2724,44,24,2671,3790,11254,1466,5,104,50,25,38,167
N08000901,Ardboe,2015,107,75,32,3379,75,108,3253,8719,922,1821,55,133,75,18,46,197
N08000902,Augher and Clogher,2015,214,204,10,6882,117,17,6802,14221,5407,6654,1153,259,152,45,85,389
N08000903,Aughnacloy,2015,183,178,5,6310,104,27,6242,11796,9244,306,372,216,108,49,69,334
N08000904,Ballygawley,2015,191,190,3,6179,62,24,6053,11931,5101,0,311,216,108,33,59,308
N08000905,Ballymaguigan,2015,73,34,39,2387,67,192,2169,6314,1376,1092,0,97,59,20,39,156
N08000906,Ballysaggart,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000907,Bellaghy,2015,125,119,6,3775,58,246,3492,7553,1828,4312,47,142,70,20,54,216
N08000908,Caledon,2015,229,143,86,7738,139,275,7273,17176,7533,8271,1255,288,157,56,136,480
N08000909,Castlecaulfield,2015,109,87,22,2846,101,29,2810,6789,3065,10470,329,132,72,26,38,196
N08000910,Castledawson,2015,71,43,28,2164,46,159,1943,3956,2776,16,12,85,48,11,37,133
N08000911,Coagh,2015,79,13,66,2703,126,180,2497,6582,1752,14698,34,96,55,20,36,152
N08000912,Coalisland North,2015,28,3,25,590,46,12,569,1274,242,0,13,33,11,3,6,42
N08000913,Coalisland South,2015,7,3,3,120,49,0,120,210,0,0,14,8,3,3,3,13
N08000914,Cookstown East,2015,15,5,10,326,65,23,302,752,412,0,14,16,7,3,3,22
N08000915,Cookstown South,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000916,Cookstown West,2015,8,3,6,251,45,0,251,382,83,0,0,12,3,3,3,16
N08000917,Coolshinny,2015,135,50,85,4432,75,381,3961,8783,6841,6289,125,161,95,43,59,263
N08000918,Donaghmore,2015,195,122,73,5551,119,141,5354,12410,3588,2707,1230,227,116,35,128,390
N08000919,Draperstown,2015,100,95,5,7395,29,34,7292,2770,20564,60,0,119,66,13,32,164
N08000920,Fivemiletown,2015,220,166,54,9238,125,24,9023,17387,8029,59719,110,264,143,54,65,383
N08000921,Glebe (Mid Ulster),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000922,Killyman,2015,95,26,69,2883,71,83,2753,6623,1909,232,144,120,59,19,49,188
N08000923,Killymeal,2015,18,7,11,438,64,5,429,1391,332,0,0,20,6,3,11,33
N08000924,Lissan,2015,197,132,65,7113,79,233,6822,12297,18611,16966,118,238,136,55,95,388
N08000925,Loughry,2015,46,11,35,1758,116,15,1718,3489,3066,2898,158,55,29,16,23,94
N08000926,Lower Glenshane,2015,187,183,3,8367,38,62,8269,4809,36477,0,131,215,96,30,55,300
N08000927,Maghera,2015,13,9,3,318,42,0,318,783,661,0,0,13,5,3,3,18
N08000928,Moy,2015,73,3,71,3396,135,185,3182,7146,1497,386,348,97,65,13,40,150
N08000929,Moygashel,2015,11,5,6,199,320,0,190,761,81,0,324,12,9,3,8,22
N08000930,Mullaghmore,2015,11,3,8,153,18,0,152,359,223,62,0,16,3,0,0,16
N08000931,Oaklands,2015,274,243,31,8403,48,34,8256,12644,11658,1082,278,321,156,56,90,467
N08000932,Pomeroy,2015,231,213,18,5927,78,2,5887,10952,8001,1774,924,267,125,55,92,414
N08000933,Stewartstown (Mid Ulster),2015,139,13,126,5275,172,114,5137,14867,5379,32038,274,189,118,35,81,305
N08000934,Swatragh,2015,162,152,10,5863,30,76,5704,6418,17097,0,32,196,89,40,47,283
N08000935,Tamlaght O'Crilly,2015,136,75,61,3782,58,224,3508,6887,11343,3638,196,165,90,28,68,261
N08000936,The Loup,2015,127,6,121,4225,94,195,3959,11281,3398,4926,46,161,89,22,62,245
N08000937,Tobermore,2015,131,68,63,5375,71,297,4871,9040,13670,3324,17,165,102,32,57,254
N08000938,Town Parks East,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000939,Valley (Mid Ulster),2015,123,73,50,4040,80,262,3706,10649,3347,895,12,147,88,27,49,223
N08000940,Washing Bay,2015,79,54,25,1568,32,29,1525,3558,247,0,41,92,34,13,29,134
N08001001,"Abbey (Newry, Mourne and Down)",2015,5,5,0,81,13,0,81,121,29,0,0,5,3,3,0,6
N08001002,Annalong,2015,103,83,20,2336,46,25,2290,4810,10921,1052,1,130,58,25,27,182
N08001003,Ballybot,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001004,Ballydugan,2015,139,50,89,4743,52,510,4165,8026,12653,3706,18,159,91,31,64,254
N08001005,Ballynahinch,2015,5,3,3,117,63,7,110,142,381,1000,0,5,3,0,3,6
N08001006,Ballyward,2015,288,259,29,9642,41,161,9386,13760,38055,2328,28,336,165,73,101,510
N08001007,Bessbrook,2015,8,8,0,94,162,6,88,66,23,0,0,8,3,3,7,16
N08001008,Binnian,2015,113,68,45,2421,51,167,2243,4771,11519,3908,0,143,69,25,34,202
N08001009,Burren,2015,62,57,5,1706,41,9,1558,2870,4354,454,0,76,38,8,26,110
N08001010,Camlough,2015,118,113,5,3367,49,50,3290,7140,4985,35,22,142,72,16,44,202
N08001011,Castlewellan,2015,69,59,10,1496,19,15,1474,2153,4690,0,0,87,26,20,32,139
N08001012,"Cathedral (Newry, Mourne and Down)",2015,10,3,7,336,26,73,262,264,403,0,0,11,6,3,3,16
N08001013,Crossgar and Killyleagh,2015,24,10,14,1091,129,50,985,1478,1134,8473,0,31,20,7,17,55
N08001014,Crossmaglen,2015,173,167,6,2667,20,0,2643,6262,530,0,0,181,54,20,25,226
N08001015,Damolly,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001016,Derryboy,2015,100,45,55,4104,105,421,3587,6974,10325,18874,0,124,69,34,48,206
N08001017,Derryleckagh,2015,91,87,3,2029,46,26,1992,4268,2366,2288,93,103,54,18,30,151
N08001018,Donard,2015,6,6,0,61,10,0,60,43,589,0,0,6,3,3,3,10
N08001019,Drumalane,2015,9,9,0,170,25,0,168,289,37,0,0,9,3,3,3,14
N08001020,Drumaness,2015,96,89,7,2949,44,37,2875,5351,4181,588,39,115,60,26,36,177
N08001021,Dundrum,2015,86,11,75,3191,72,515,2625,5904,6159,200,13,102,67,24,51,177
N08001022,Fathom,2015,124,120,3,2091,31,21,2052,4325,3961,2809,29,134,44,10,24,168
N08001023,Forkhill,2015,134,130,3,2978,29,1,2954,5470,2350,123,0,153,47,16,57,226
N08001024,Hilltown,2015,261,179,82,7223,52,580,6624,11089,36341,32,105,313,165,62,154,529
N08001025,Kilkeel,2015,25,5,20,742,63,159,583,1366,2427,1798,0,32,18,8,7,47
N08001026,Kilmore,2015,129,112,17,4430,62,100,4214,7796,6133,2158,100,151,76,46,49,246
N08001027,Knocknashinna,2015,6,3,3,121,17,1,120,242,0,0,0,8,3,3,3,12
N08001028,Lecale,2015,78,3,76,4146,89,709,3399,7647,10646,1963,32,91,67,27,40,158
N08001029,Lisnacree,2015,208,151,57,6098,43,303,5730,7920,29721,2770,0,252,144,49,106,407
N08001030,Mayobridge,2015,155,53,102,4224,79,378,3818,10606,7165,3142,178,196,108,36,76,308
N08001031,Mullaghbane,2015,208,201,7,4195,25,16,4147,8754,2773,0,45,232,86,24,44,300
N08001032,Murlough,2015,17,6,11,1034,126,218,812,2549,505,0,0,29,17,3,14,47
N08001033,Newtownhamilton,2015,321,315,6,7084,48,25,7003,16517,6352,35,105,370,169,65,170,605
N08001034,Quoile,2015,44,35,9,1979,45,141,1700,3020,2697,80,0,58,31,13,32,103
N08001035,Rostrevor,2015,59,58,3,974,13,0,961,937,6338,95,0,69,16,14,9,92
N08001036,Saintfield,2015,34,15,19,5678,105,45,5549,2283,2529,0,12,43,21,12,9,64
N08001037,St. Patrick's,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001038,Strangford,2015,124,41,83,5768,76,778,4894,11505,7074,0,0,163,111,37,73,273
N08001039,Tollymore,2015,235,188,47,7248,42,253,6960,8245,33514,2914,142,273,133,56,96,425
N08001040,Warrenpoint,2015,7,6,3,117,11,0,116,48,277,0,0,7,3,3,3,11
N08001041,Whitecross,2015,165,116,49,6117,127,379,5684,18015,5468,3259,166,212,120,42,68,322
N08001101,Ballycrochan,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001102,Ballygowan,2015,56,24,32,2415,105,428,1922,4449,3137,685,5,74,48,18,42,134
N08001103,Ballygrainey,2015,10,0,10,420,140,58,349,1130,367,0,0,11,7,0,6,17
N08001104,Ballyholme,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001105,Ballymagee,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001106,Ballywalter,2015,49,3,46,2675,134,545,1979,6077,4651,0,0,71,47,17,28,116
N08001107,Bloomfield (Ards and North Down),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001108,Broadway,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001109,Bryansburn,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001110,Carrowdore,2015,75,0,75,3026,119,350,2622,7154,5979,15,37,91,57,28,52,171
N08001111,Castle (Ards and North Down),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001112,Clandeboye,2015,7,0,7,1442,274,99,788,1455,1010,0,0,12,8,3,7,22
N08001113,Comber North,2015,9,3,8,507,169,459,37,0,176,0,0,16,9,3,47,65
N08001114,Comber South,2015,45,14,31,1552,77,425,1125,2000,3435,15,0,60,32,14,47,121
N08001115,Comber West,2015,16,0,16,470,106,231,236,388,1477,0,0,20,14,6,16,42
N08001116,Conway Square,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001117,Cronstown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001118,Cultra,2015,16,0,16,528,91,15,486,1290,39,17,0,19,8,3,3,27
N08001119,Donaghadee,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001120,Glen,2015,7,0,7,98,32,0,93,75,450,6,0,8,3,3,5,15
N08001121,Gregstown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001122,Groomsport,2015,10,0,10,730,88,133,508,689,1428,0,0,11,7,3,7,21
N08001123,Harbour,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001124,Helen's Bay,2015,7,3,6,171,25,26,142,151,49,0,0,7,3,3,6,14
N08001125,Holywood,2015,6,3,5,209,21,11,194,147,0,0,0,7,3,3,3,12
N08001126,Kilcooley,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001127,Killinchy,2015,74,11,63,3152,77,532,2567,4928,7439,0,42,100,64,28,49,177
N08001128,Kircubbin,2015,74,3,71,3410,115,500,2817,8255,1482,0,76,92,60,23,83,198
N08001129,Loughries,2015,81,3,78,3699,108,400,3266,7724,2229,0,0,99,52,28,78,205
N08001130,Loughview,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001131,Movilla,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001132,Portaferry,2015,54,3,53,2945,178,755,2077,6217,3300,13418,0,70,50,19,42,131
N08001133,Portavogie,2015,33,0,33,1598,173,103,1495,4733,908,1977,0,46,24,9,32,87
N08001134,Rathgael,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001135,Rathmore,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001136,Scrabo,2015,25,3,24,2027,251,1054,961,3384,1181,34,1,33,24,12,38,83
N08001137,Silverbirch,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001138,Silverstream,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001139,Warren,2015,23,0,23,994,116,144,776,1972,554,0,5,28,16,9,9,46
N08001140,West Winds,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000101,Abbey (Antrim and Newtownabbey),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000102,Aldergrove,2016,99,3,95,6339,122,239,5816,10590,13232,865,227,122,78,39,78,239
N08000103,Antrim Centre,2016,5,3,3,41,173,0,40,61,0,3565,0,5,3,0,3,9
N08000104,Ballyclare East,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000105,Ballyclare West,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000106,Ballyduff,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000107,Ballyhenry,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000108,Ballynure,2016,83,60,23,3725,87,70,3630,7562,9277,49,16,110,63,25,29,164
N08000109,Ballyrobert,2016,32,3,28,1221,91,46,1167,3033,1436,0,0,39,23,11,34,84
N08000110,Burnthill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000111,Carnmoney,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000112,Carnmoney Hill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000113,Clady,2016,110,87,23,6217,100,230,5925,11653,6118,98,74,131,81,32,66,229
N08000114,Collinbridge,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000115,Cranfield,2016,67,20,47,2818,102,123,2667,7308,2575,60,89,86,59,18,32,136
N08000116,Crumlin,2016,6,0,6,222,45,0,222,273,136,0,0,8,3,3,3,12
N08000117,Doagh,2016,21,8,13,1020,146,136,882,2462,1167,4462,0,29,19,5,13,47
N08000118,Fairview,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000119,Fountain Hill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000120,Glebe (Antrim and Newtownabbey),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000121,Glengormley,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000122,Greystone (Antrim and Newtownabbey),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000123,Hightown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000124,Jordanstown,2016,12,12,0,1171,281,0,1170,2045,454,10624,0,15,11,3,10,27
N08000125,Mallusk,2016,17,5,12,732,86,91,640,1291,405,910,0,21,10,5,9,35
N08000126,Monkstown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000127,Mossley,2016,7,3,3,180,16,0,180,146,535,0,0,7,5,3,3,12
N08000128,O'Neill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000129,Parkgate,2016,108,90,18,5196,80,259,4870,8027,18444,0,198,134,73,49,48,231
N08000130,Randalstown,2016,10,5,5,817,79,36,463,761,2728,0,0,11,5,3,9,23
N08000131,Rathcoole,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000132,Rostulla,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000133,Shilvodan,2016,108,100,8,4145,102,113,4001,7544,9536,2050,346,132,77,30,41,203
N08000134,Springfarm,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000135,Steeple,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000136,Stiles,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000137,Templepatrick,2016,49,8,41,3365,96,117,3224,5719,2778,0,19,62,35,20,25,107
N08000138,Toome,2016,112,47,65,4396,87,112,4212,11119,5056,68,130,144,86,28,42,214
N08000139,Valley (Antrim and Newtownabbey),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000140,Whitehouse,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000201,Aghagallon,2016,88,40,48,3596,90,178,3379,9705,660,1482,77,97,53,24,52,173
N08000202,Ballybay,2016,21,3,20,838,86,251,583,1127,100,0,0,29,18,6,36,71
N08000203,Banbridge East,2016,89,3,87,3608,126,464,3121,10033,4300,3409,1,121,68,36,51,208
N08000204,Banbridge North,2016,16,0,16,182,12,10,168,292,375,0,0,17,5,6,3,26
N08000205,Banbridge South,2016,5,0,5,176,74,10,166,421,621,0,0,7,3,0,0,7
N08000206,Banbridge West,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000207,Blackwatertown,2016,243,41,202,7553,138,714,6703,18958,4042,5,640,303,163,59,377,739
N08000208,Bleary,2016,29,3,26,700,58,32,661,1310,1003,0,0,38,22,5,22,65
N08000209,Brownlow,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000210,"Cathedral (Armagh City, Banbridge and Craigavon)",2016,8,3,7,132,34,7,121,142,0,0,0,8,3,3,3,11
N08000211,Corcrain,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000212,Craigavon Centre,2016,11,10,3,491,148,79,382,1459,13,0,0,14,7,3,13,31
N08000213,Demesne,2016,10,0,10,180,32,4,175,428,71,0,6,10,5,3,3,16
N08000214,Derrytrasna,2016,55,50,5,1841,62,78,1662,3708,730,600,76,75,36,11,29,115
N08000215,Donaghcloney,2016,87,3,84,3762,131,591,3155,9702,2662,11,291,123,65,32,57,212
N08000216,"Dromore (Armagh City, Banbridge and Craigavon)",2016,24,3,21,673,55,76,597,1491,1978,0,0,29,12,5,8,42
N08000217,Gilford,2016,63,3,62,2334,94,210,2046,5557,1105,0,0,76,45,15,56,147
N08000218,Gransha,2016,192,140,52,5912,78,458,5400,13851,13602,27,174,237,128,57,73,367
N08000219,Hamiltonsbawn,2016,157,75,82,5222,110,579,4560,10892,8651,11596,338,194,107,40,97,331
N08000220,Keady,2016,247,230,17,5672,56,11,5637,14262,2812,0,167,268,138,62,150,480
N08000221,Kernan,2016,14,3,13,626,140,9,617,1837,535,1317,0,20,15,6,8,34
N08000222,Killycomain,2016,5,3,3,49,19,2,47,149,131,0,0,5,3,0,7,12
N08000223,Knocknashane,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000224,Lough Road,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000225,Loughbrickland,2016,213,5,208,10266,75,1436,8719,16564,14048,2685,40,265,140,61,73,399
N08000226,Loughgall,2016,173,43,130,4786,102,908,3821,10107,4684,4160,170,210,122,54,322,586
N08000227,Magheralin,2016,19,0,19,905,160,30,860,2670,201,2186,21,27,18,5,5,37
N08000228,Mahon,2016,31,3,29,975,115,102,866,2290,396,0,37,34,18,9,18,61
N08000229,Markethill,2016,197,70,127,7722,112,486,6960,20295,15304,4674,309,245,154,61,81,387
N08000230,Mourneview,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000231,Navan,2016,251,106,145,7898,177,146,7689,21088,12158,110999,146,317,171,71,154,542
N08000232,Parklake,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000233,Quilly,2016,107,3,105,4544,105,718,3773,10337,3498,23,120,137,78,33,58,228
N08000234,Rathfriland,2016,160,29,131,5299,78,636,4618,11197,12587,4027,25,194,112,49,81,324
N08000235,Richhill,2016,66,12,54,2683,91,380,2280,5608,2091,169,54,80,44,20,60,160
N08000236,Seagahan,2016,363,342,21,9406,62,61,9269,23839,10369,7941,368,428,216,74,94,596
N08000237,"Shankill (Armagh City, Banbridge and Craigavon)",2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000238,Tandragee,2016,23,0,23,971,91,119,810,2273,789,76,0,27,12,9,17,53
N08000239,The Birches,2016,173,122,51,5215,103,471,4621,11352,2932,6952,34,217,119,48,196,461
N08000240,The Mall,2016,11,5,6,780,221,72,703,2092,271,0,0,15,9,3,24,43
N08000241,Waringstown,2016,29,3,26,975,79,115,826,2180,474,430,0,34,16,8,14,56
N08000301,Andersonstown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
