Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000221,Kernan,2015,17,3,15,630,134,9,620,1792,482,2817,0,20,15,7,7,34
N08000222,Killycomain,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000223,Knocknashane,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000224,Lough Road,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000225,Loughbrickland,2015,211,3,208,7066,74,1463,5548,15118,13829,2664,102,266,149,62,66,394
N08000226,Loughgall,2015,170,45,125,4588,102,927,3616,9255,4307,4990,158,208,121,42,314,564
N08000227,Magheralin,2015,21,3,20,908,132,44,842,2350,201,2257,21,28,14,7,3,39
N08000228,Mahon,2015,31,3,28,945,91,102,837,2198,265,0,38,36,19,9,17,62
N08000229,Markethill,2015,200,69,131,7603,102,486,6843,19434,15479,4576,134,250,150,69,79,398
N08000230,Mourneview,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000231,Navan,2015,261,112,149,7965,156,143,7751,20135,12180,97861,135,320,168,66,170,556
N08000232,Parklake,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000233,Quilly,2015,110,3,108,4549,102,770,3742,10022,2999,25,120,140,80,28,57,225
N08000234,Rathfriland,2015,159,27,132,5424,77,643,4731,10855,12369,3496,31,194,109,47,73,314
N08000235,Richhill,2015,70,13,57,2749,82,377,2339,5331,2429,0,54,88,45,21,62,171
N08000236,Seagahan,2015,374,349,25,9408,61,88,9247,23170,10577,9650,351,435,209,76,96,607
N08000237,"Shankill (Armagh City, Banbridge and Craigavon)",2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000238,Tandragee,2015,23,3,22,988,89,101,849,2257,618,76,0,25,11,9,17,51
N08000239,The Birches,2015,171,118,53,5167,93,416,4671,10846,2787,6813,19,214,120,45,182,441
N08000240,The Mall,2015,11,3,8,691,295,91,599,1975,271,0,108,15,5,5,30,50
N08000241,Waringstown,2015,27,3,26,1002,82,119,850,2176,306,310,0,33,16,6,15,54
N08000301,Andersonstown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000302,Ardoyne,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000303,Ballygomartin,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000304,Ballymacarrett,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000305,Ballymurphy,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000306,Ballysillan,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000307,Beechmount,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000308,Beersbridge,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000309,Bellevue,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000310,Belmont,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000311,Belvoir,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000312,Blackstaff,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000313,Bloomfield (Belfast),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000314,Cavehill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000315,Central,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000316,Chichester Park,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000317,Cliftonville,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000318,Clonard,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000319,Collin Glen,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000320,Connswater,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000321,Cregagh,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000322,Duncairn,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000323,Dunmurry,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000324,Falls,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000325,Falls Park,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000326,Finaghy,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000327,Forth River,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000328,Fortwilliam,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000329,Garnerville,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000330,Gilnahirk,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000331,Hillfoot,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000332,Innisfayle,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000333,Knock,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000334,Ladybrook,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000335,Lagmore,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000336,Legoniel,2015,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3
N08000337,Malone,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000338,Merok,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000339,Musgrave,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000340,New Lodge,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000341,Orangefield,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000342,Ormeau,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000343,Poleglass,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000344,Ravenhill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000345,Rosetta,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000346,Sandown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000347,Shandon,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000348,Shankill (Belfast),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000349,Shaw's Road,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000350,Stewartstown (Belfast),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000351,Stormont,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000352,Stranmillis,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000353,Sydenham,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000354,Turf Lodge,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000355,Twinbrook,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000356,Upper Malone,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000357,Water Works,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000358,Windsor,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000359,Woodstock,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000360,Woodvale,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
