DEA Code,DEA Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N10000701,CASTLEREAGH EAST,2015,57,3,54,"4,262",90,614,"2,999","6,205","3,638",20,0,80,53,19,66,165,36,6,0,15
N10000702,CASTLEREAGH SOUTH,2015,37,3,36,"1,622",65,157,"1,454","3,549",554,0,0,55,30,11,23,89,25,3,5,3
N10000703,DOWNSHIRE EAST,2015,302,99,203,"11,295",38,"1,139","9,997","22,311","18,222","9,138",53,367,198,105,158,630,226,32,10,34
N10000704,DOWNSHIRE WEST,2015,143,3,141,"6,275",114,"1,740","4,485","11,398","3,225","2,260",480,179,101,41,75,295,99,18,10,16
N10000705,KILLULTAGH,2015,304,179,125,"11,648",63,"1,134","10,351","17,401","9,731","3,730",269,359,183,75,149,583,231,33,20,20
N10000706,LISBURN NORTH,2015,13,5,8,371,44,87,282,568,39,"7,839",0,16,11,3,13,32,7,3,3,3
N10000707,LISBURN SOUTH,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000801,BALLYMENA,2015,11,3,9,239,85,20,215,371,341,0,27,13,6,0,3,17,10,3,0,0
N10000802,BANNSIDE,2015,411,276,135,"13,533",75,421,"12,899","32,742","15,416","2,317",594,496,276,112,169,777,300,55,27,29
N10000803,BRAID,2015,799,536,263,"37,461",229,478,"36,523","51,405","122,763","2,316",1582,978,608,227,307,"1,512",563,124,54,58
N10000804,CARRICK CASTLE,2015,16,16,0,842,130,0,766,884,"3,120",0,0,20,11,3,16,39,10,5,3,0
N10000805,COAST ROAD,2015,213,207,6,"13,716",11,36,"13,507","9,014","55,334",0,224,234,159,51,149,434,163,36,3,10
N10000806,KNOCKAGH,2015,97,95,3,"2,865",99,24,"2,812","4,030","11,802","1,466",5,113,57,25,44,182,80,10,5,3
N10000807,LARNE LOUGH,2015,259,246,13,"12,914",169,66,"12,743","20,659","44,789","3,982",113,312,184,71,104,487,184,33,11,31
N10000901,CARNTOGHER,2015,621,492,129,"22,370",81,623,"21,505","29,546","68,925","4,533",371,736,368,127,222,"1,085",516,60,27,18
N10000902,CLOGHER VALLEY,2015,"1,146",968,178,"39,193",58,395,"38,202","79,300","38,379","85,420",3529,"1,375",740,263,452,"2,090",857,159,60,70
N10000903,COOKSTOWN,2015,657,490,167,"19,421",55,253,"18,963","34,857","25,099","20,452",1408,771,377,153,245,"1,169",549,51,31,26
N10000904,DUNGANNON,2015,210,45,165,"7,096",30,273,"6,734","16,348","4,085",680,816,267,144,36,108,411,149,25,19,17
N10000905,MAGHERAFELT,2015,466,192,274,"16,351",181,809,"15,308","32,923","29,597","28,181",288,569,323,120,221,910,352,45,38,31
N10000906,MOYOLA,2015,500,359,141,"21,094",52,928,"19,767","29,633","40,214","8,804",76,608,345,96,219,923,380,74,30,16
N10000907,TORRENT,2015,555,270,285,"16,482",77,404,"15,956","41,038","10,378","36,566",1626,682,357,106,293,"1,081",424,52,38,41
N10001001,CROTLIEVE,2015,635,440,195,"16,273",112,993,"15,069","29,818","56,841","6,011",376,764,384,140,297,"1,201",529,62,20,24
N10001002,DOWNPATRICK,2015,262,85,177,"12,350",95,"1,702","10,375","22,678","20,820","2,043",32,331,216,79,152,562,184,46,11,21
N10001003,NEWRY,2015,140,135,5,"2,381",87,21,"2,340","4,999","4,040","2,809",29,151,52,13,30,194,127,10,3,3
N10001004,ROWALLANE,2015,292,185,107,"15,420",45,623,"14,445","18,673","20,502","30,505",112,354,190,99,124,577,218,40,15,19
N10001005,SLIEVE CROOB,2015,678,468,210,"22,021",50,"1,238","20,526","35,194","65,738","6,822",98,799,409,174,284,"1,257",560,70,24,24
N10001006,SLIEVE GULLION,2015,"1,128","1,051",77,"26,501",56,478,"25,808","62,227","22,481","3,519",337,"1,299",553,184,415,"1,898",981,80,30,37
N10001007,THE MOURNES,2015,707,507,200,"19,939",73,"1,124","18,678","29,704","89,196","12,442",143,865,441,169,286,"1,320",592,63,22,30
N10001101,ARDS PENINSULA,2015,366,10,356,"17,353",111,"2,652","14,256","40,160","18,549","15,410",113,469,290,124,315,908,239,44,15,68
N10001102,BANGOR CENTRAL,2015,12,0,12,431,47,59,357,"1,148",367,0,0,13,7,3,6,20,9,0,0,3
N10001103,BANGOR EAST AND DONAGHADEE,2015,38,0,38,"1,964",175,335,"1,466","3,194","2,074",0,5,44,25,12,20,76,24,6,3,5
N10001104,BANGOR WEST,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10001105,COMBER,2015,200,50,150,"8,096",107,"2,074","5,886","11,765","15,664",700,47,270,167,68,201,539,125,29,19,27
N10001106,HOLYWOOD AND CLANDEBOYE,2015,40,3,38,"2,727",45,229,"1,905","3,909","1,098",17,0,50,26,12,21,83,28,3,3,5
N10001107,NEWTOWNARDS,2015,37,3,36,"2,227",65,"1,120","1,089","3,502","1,803",51,1,47,32,14,44,105,18,7,3,11
N10000101,AIRPORT,2016,281,104,177,"16,874",105,677,"15,827","29,526","22,669","1,873",320,344,207,99,179,622,188,42,17,34
N10000102,ANTRIM,2016,11,5,6,154,90,14,139,248,413,"3,565",0,12,3,3,6,20,9,3,0,3
N10000103,BALLYCLARE,2016,144,75,69,"6,151",93,252,"5,861","13,331","12,257","4,511",16,186,108,42,76,304,96,20,9,19
N10000104,DUNSILLY,2016,405,262,143,"17,372",91,643,"16,212","34,759","38,339","2,178",762,507,300,128,172,807,284,65,19,37
N10000105,GLENGORMLEY URBAN,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000106,MACEDON,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000107,THREE MILE WATER,2016,19,15,3,"1,351",184,0,"1,350","2,191",989,"10,624",0,22,16,5,12,39,14,3,3,3
N10000201,ARMAGH,2016,770,383,387,"22,215",123,952,"21,027","56,970","19,354","111,004",958,921,490,200,710,"1,831",581,93,37,59
N10000202,BANBRIDGE,2016,547,37,510,"21,890",85,"2,766","18,864","44,137","33,036","10,121",66,682,375,167,264,"1,113",396,68,34,49
N10000203,CRAIGAVON,2016,110,64,46,"3,681",79,198,"3,347","8,409","2,281","1,917",76,148,81,27,73,248,81,15,6,8
N10000204,CUSHER,2016,806,499,307,"26,004",87,"1,625","23,879","62,907","37,204","24,456",1068,974,533,204,349,"1,527",615,81,46,64
N10000205,LAGAN RIVER,2016,439,151,288,"15,867",94,"1,958","13,751","37,561","22,214",491,584,560,299,135,210,905,317,51,26,45
N10000206,LURGAN,2016,115,43,72,"4,590",97,238,"4,298","12,500",914,"3,668",99,132,73,30,57,219,79,15,10,11
N10000207,PORTADOWN,2016,405,170,235,"11,948",101,"1,734","10,018","25,120","8,243","11,112",241,497,280,117,581,"1,195",265,51,33,56
N10000301,BALMORAL,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000302,BLACK MOUNTAIN,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000303,BOTANIC,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000304,CASTLE,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000305,COLLIN,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000306,COURT,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000307,LISNASHARRAGH,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000308,OLDPARK,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000309,ORMISTON,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000310,TITANIC,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000401,BALLYMONEY,2016,403,210,193,"18,705",117,716,"17,471","33,839","32,619","13,819",954,518,310,123,220,861,265,64,30,44
N10000402,BANN,2016,533,260,273,"26,508",82,"1,241","24,825","41,920","58,731","6,612",457,669,405,181,227,"1,077",380,66,37,50
N10000403,BENBRADAGH,2016,423,321,102,"26,602",64,"2,266","23,950","22,963","83,163",400,106,511,283,118,193,822,320,59,21,23
N10000404,CAUSEWAY,2016,345,132,213,"20,449",153,"2,281","17,792","43,336","29,110","2,896",406,470,339,120,233,823,183,59,35,68
N10000405,COLERAINE,2016,13,7,6,"1,045",86,58,943,799,"1,886",0,16,16,8,3,3,21,7,3,3,3
N10000406,LIMAVADY,2016,190,102,88,"11,658",77,"1,616","9,780","15,342","37,007",43,1,229,140,49,86,364,124,34,17,15
N10000407,THE GLENS,2016,605,534,71,"38,830",73,812,"37,528","32,625","170,551",128,447,749,454,163,261,"1,173",418,104,37,46
N10000501,BALLYARNETT,2016,14,3,10,875,75,226,607,624,"1,584",0,0,15,9,3,6,24,10,3,3,3
N10000502,DERG,2016,610,487,123,"30,809",98,923,"28,052","44,457","77,161","24,837",332,740,438,140,307,"1,187",434,84,29,63
N10000503,FAUGHAN,2016,261,174,87,"15,316",88,"1,668","13,277","22,674","36,930",104,0,326,207,68,162,556,182,36,17,26
N10000504,FOYLESIDE,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000505,SPERRIN,2016,815,735,80,"46,719",57,799,"45,185","43,985","172,773","2,126",124,972,548,205,387,"1,564",623,117,36,39
N10000506,THE MOOR,2016,23,12,11,"1,316",95,301,976,"1,888","1,747",0,0,26,16,11,17,54,15,3,3,3
N10000507,WATERSIDE,2016,21,16,5,629,42,27,599,874,"1,796",0,0,24,15,5,5,34,19,0,3,3
N10000601,ENNISKILLEN,2016,218,215,3,"9,830",61,21,"9,385","15,544","9,676",6,0,256,140,54,92,402,172,24,6,16
N10000602,ERNE EAST,2016,894,878,16,"33,556",66,74,"32,929","57,878","27,585","1,766",801,"1,060",553,237,280,"1,577",718,97,42,37
N10000603,ERNE NORTH,2016,731,719,12,"29,539",36,34,"28,934","36,666","39,510",223,47,857,411,173,219,"1,249",630,65,24,12
N10000604,ERNE WEST,2016,"1,132","1,123",9,"48,936",35,114,"47,993","55,182","45,061",5,120,"1,322",692,283,281,"1,886",979,102,34,17
N10000605,MID TYRONE,2016,968,900,68,"40,534",57,178,"39,428","55,852","84,062","8,246",688,"1,131",609,203,308,"1,642",790,100,38,40
N10000606,OMAGH,2016,37,27,10,"1,602",81,21,"1,488","1,933","2,737",0,93,43,20,8,17,68,29,5,0,3
N10000607,WEST TYRONE,2016,"1,054","1,015",39,"42,642",70,286,"41,314","68,632","72,480","29,227",464,"1,277",742,236,400,"1,913",822,125,53,54
N10000701,CASTLEREAGH EAST,2016,57,3,53,"4,320",137,560,"3,025","6,059","3,452",5,0,82,54,18,79,179,36,7,3,13
N10000702,CASTLEREAGH SOUTH,2016,34,3,33,"1,569",96,166,"1,390","3,542",639,0,0,53,32,13,25,91,23,3,3,3
N10000703,DOWNSHIRE EAST,2016,299,99,200,"11,438",91,"1,106","10,107","22,950","18,870","10,826",52,370,199,104,151,625,217,37,8,37
N10000704,DOWNSHIRE WEST,2016,137,3,135,"6,352",125,"1,834","4,451","11,587","3,522","2,386",405,177,96,39,77,293,91,19,11,16
N10000705,KILLULTAGH,2016,288,172,116,"11,312",63,"1,128","10,051","17,672","10,482","3,908",189,352,175,81,138,571,217,34,16,21
N10000706,LISBURN NORTH,2016,13,5,8,371,246,88,283,608,39,"9,053",0,16,10,3,16,35,8,0,3,3
N10000707,LISBURN SOUTH,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000801,BALLYMENA,2016,14,3,10,258,36,22,232,449,366,0,24,17,6,0,3,21,12,3,0,0
N10000802,BANNSIDE,2016,398,264,134,"13,669",92,470,"12,958","33,727","15,124","1,072",621,495,275,109,164,768,291,50,27,30
N10000803,BRAID,2016,780,534,246,"37,600",89,520,"36,586","52,553","121,935","2,483",1662,955,575,234,353,"1,542",541,125,53,61
N10000804,CARRICK CASTLE,2016,16,16,0,855,60,0,779,995,"3,500",0,3,23,12,3,16,42,11,3,3,0
N10000805,COAST ROAD,2016,208,203,5,"13,921",52,23,"13,724","9,545","56,999",7,71,242,150,52,105,399,160,34,6,8
N10000806,KNOCKAGH,2016,99,96,3,"2,847",46,32,"2,780","4,011","11,685","1,504",34,113,57,30,35,178,81,10,5,3
N10000807,LARNE LOUGH,2016,247,234,13,"13,402",94,78,"13,211","22,473","44,084","5,573",97,305,176,86,111,502,174,28,11,34
N10000901,CARNTOGHER,2016,626,494,132,"23,129",49,618,"22,224","30,008","71,930","4,278",433,738,347,135,210,"1,083",520,62,24,20
N10000902,CLOGHER VALLEY,2016,"1,120",946,174,"40,121",114,383,"38,576","82,923","39,044","94,700",3401,"1,350",746,289,463,"2,102",837,145,65,73
N10000903,COOKSTOWN,2016,632,468,164,"19,286",81,251,"18,813","36,110","25,589","28,031",1466,750,367,153,247,"1,150",525,51,24,32
N10000904,DUNGANNON,2016,210,40,170,"7,243",106,263,"6,868","16,512","4,361",742,890,250,132,49,84,383,146,33,11,20
N10000905,MAGHERAFELT,2016,464,189,275,"16,601",80,788,"15,477","34,049","31,329","30,157",119,564,310,122,213,899,346,53,31,34
N10000906,MOYOLA,2016,497,357,140,"21,406",57,851,"20,121","30,413","42,139","11,422",73,609,336,105,216,930,380,71,28,18
N10000907,TORRENT,2016,541,261,280,"16,543",114,448,"15,989","43,374","10,903","40,379",1633,689,364,113,245,"1,047",406,57,35,43
N10001001,CROTLIEVE,2016,635,434,201,"16,547",52,983,"15,367","31,094","56,074","5,514",302,769,362,145,304,"1,218",530,63,15,27
N10001002,DOWNPATRICK,2016,259,84,175,"12,614",73,"1,628","10,657","23,409","20,934","2,041",42,342,211,78,150,570,181,43,12,23
N10001003,NEWRY,2016,133,129,3,"2,486",36,21,"2,448","5,863","4,185","2,667",32,143,50,13,27,183,119,9,3,3
N10001004,ROWALLANE,2016,285,185,100,"19,717",82,694,"11,207","19,348","20,798","26,349",99,336,173,105,136,577,210,40,17,18
N10001005,SLIEVE CROOB,2016,673,471,202,"22,126",47,"1,293","20,547","36,586","66,262","6,642",197,805,405,171,293,"1,269",551,72,27,23
N10001006,SLIEVE GULLION,2016,"1,100","1,027",73,"26,753",48,466,"26,009","64,701","22,777","4,753",296,"1,275",549,204,316,"1,795",954,82,28,36
